conda activate mgmt_chain
(base) dswanagon@Davids-Laptop-7 ~ % conda activate mgmt_chain
(mgmt_chain) dswanagon@Davids-Laptop-7 ~ % python "/Users/dswanagon/Relational Lysis Github/8 - Shannon Limit/exp_shannon_1_Ingestion.py" \
    --mode A \ 
    --chunk_mb 50 \
    --log mode_b_log.csv


RELATIONAL LYSIS — PHASE 1 INGESTION
Mode: A
Chunk MB: 50
Log: mode_b_log.csv

Chunk      1 | Downloaded MB=      52.4 | RSS=   240.8 MB | Peak=   240.8 MB
Chunk    243 | Downloaded MB=   12740.2 | RSS=  2999.2 MB | Peak=  3133.4 MB
Chunk    244 | Downloaded MB=   12792.6 | RSS=  2970.0 MB | Peak=  3133.4 MB
Chunk    245 | Downloaded MB=   12845.1 | RSS=  2970.1 MB | Peak=  3133.4 MB
Chunk    246 | Downloaded MB=   12897.5 | RSS=  2996.1 MB | Peak=  3133.4 MB
Chunk    247 | Downloaded MB=   12949.9 | RSS=  2970.2 MB | Peak=  3133.4 MB
Chunk    248 | Downloaded MB=   13002.3 | RSS=  2968.7 MB | Peak=  3133.4 MB
Chunk    249 | Downloaded MB=   13054.8 | RSS=  2980.0 MB | Peak=  3133.4 MB
Chunk    250 | Downloaded MB=   13107.2 | RSS=  2996.9 MB | Peak=  3133.4 MB
Chunk    251 | Downloaded MB=   13159.6 | RSS=  2989.4 MB | Peak=  3133.4 MB
Chunk    252 | Downloaded MB=   13212.1 | RSS=  2979.1 MB | Peak=  3133.4 MB
Chunk    253 | Downloaded MB=   13264.5 | RSS=  3014.5 MB | Peak=  3133.4 MB
Chunk    254 | Downloaded MB=   13316.9 | RSS=  3010.7 MB | Peak=  3133.4 MB
Chunk    255 | Downloaded MB=   13369.3 | RSS=  3008.6 MB | Peak=  3133.4 MB
Chunk    256 | Downloaded MB=   13421.8 | RSS=  3000.9 MB | Peak=  3133.4 MB
Chunk    257 | Downloaded MB=   13474.2 | RSS=  2980.6 MB | Peak=  3133.4 MB
Chunk    258 | Downloaded MB=   13526.6 | RSS=  2991.2 MB | Peak=  3133.4 MB
Chunk    259 | Downloaded MB=   13579.1 | RSS=  3015.6 MB | Peak=  3133.4 MB
Chunk    260 | Downloaded MB=   13631.5 | RSS=  2956.4 MB | Peak=  3133.4 MB
